reversed_path,pred_0,pred_1,pred_2,input,mean,deviation,VaR(CCC)
"['h1_4', 'h0_3', 'x_1']",-0.0014260721591037495,-0.0014926226303370812,-0.013796680869751542,x_1,-0.005571791886397458,0.007123040525834448,5.073770633267989e-05
"['h1_4', 'h0_2', 'x_1']",0.0013938223325129636,0.0014588678019530072,0.013484676625970825,x_1,0.005445788920145599,0.006961956936697084,4.8468844388424644e-05
"['h1_4', 'h0_4', 'x_1']",0.0012703249110442608,0.0013296071296260807,0.012289888198636459,x_1,0.004963273413102267,0.006345103762513752,4.026034175706617e-05
"['h1_5', 'h0_2', 'x_2']",-9.012957683142443e-05,0.0007834095091111261,0.01129234256798799,x_2,0.00399520750008923,0.006334579921591937,4.0126902783035714e-05
"['h1_1', 'h0_2', 'x_2']",-0.00012909361536395515,0.0007625326700682382,0.01112746585222044,x_2,0.003920301635641574,0.00625748842522058,3.915616139176954e-05
"['h1_1', 'h0_5', 'x_1']",0.0001226355768778074,-0.0007243862031313407,-0.010570803134824742,x_1,-0.0037241845870260915,0.005944451247024223,3.533650062824784e-05
"['h1_5', 'h0_5', 'x_1']",8.437064239358685e-05,-0.0007333526447658306,-0.010570805168336389,x_1,-0.0037399290569028777,0.005929824548914196,3.5162819180905455e-05
"['h1_5', 'h0_2', 'x_3']",-8.077957488611798e-05,0.0007021389574046554,0.010120880006089641,x_3,0.003580746462869393,0.00567743343681078,3.2233250429417066e-05
"['h1_1', 'h0_2', 'x_3']",-0.00011570150150728847,0.000683427872296549,0.009973107526992875,x_3,0.003513611299260712,0.005608339377755555,3.1453470576083565e-05
"['h1_4', 'h0_5', 'x_1']",-0.0010926344317163834,-0.001143624373461119,-0.010570803493679705,x_1,-0.0042690207662857355,0.0054575634811700096,2.9784999151000514e-05
"['h1_5', 'h0_4', 'x_1']",-7.66245404267471e-05,0.0006660232491034417,0.009600295375089225,x_1,0.00339656469458864,0.005385405017448708,2.9002587201961715e-05
"['h1_1', 'h0_4', 'x_1']",-0.00011024574084187691,0.0006512016794231009,0.009502838022718032,x_1,0.003347931320433085,0.005343885096896374,2.855710792883117e-05
"['h1_4', 'h0_4', 'x_0']",0.0009676185817882916,0.0010127744122145797,0.009361324875008242,x_0,0.003780572623003705,0.004833125959039931,2.3359106535945655e-05
"['h1_5', 'h0_2', 'x_0']",-6.54801635866453e-05,0.0005691559265597776,0.008204015425605388,x_0,0.0029025637295261738,0.0046021444247356,2.1179733306124965e-05
"['h1_1', 'h0_2', 'x_0']",-9.378798114001593e-05,0.0005539886653370028,0.00808423061467389,x_0,0.002848143766290292,0.004546136575026316,2.0667357758792003e-05
"['h1_5', 'h0_2', 'x_1']",-6.389233138007894e-05,0.0005553544321643963,0.008005075789501603,x_1,0.0028321792967619733,0.0044905467631446115,2.016501023198855e-05
